id	title	abstract	keywords
34	创客教育:信息技术使能的创新教育实践场	"在创客运动(Maker Movement)席卷全球的影响之下,创客教育(Maker Education)融合信息技术的发展,开拓了创新教育的新园地。该文通过对中外相关文献的综述和分析,对创客教育的内涵进行了归纳,并对创客教育在我国的现状以及发展方向进行了深层次解读。在新兴科技和互联网社区的发展大背景下,创新教育以信息技术的融合为基础,传承了体验教育、项目学习法、创新教育、DIY理念的思想。创客课题的八个要素包括:课题的切身性、课题的复杂性、充足的资源、互动和合作、高强度、合理的时间安排、分享教育、以及新颖性。在我国,创客教育具有贯彻以学生中心的教学思想、促进学生间的交流合作、推进教育信息化进程、发展学生的动手能力、培育""尚技重工""的文化等优势。推进我国创客教育的方式有:设立多校共享的创客中心、提供相应的教师培训、鼓励器材的研发生产、创建社区创客中心、创建良好的激励机制。"	创客教育 技术使能 创新教育
35	教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析	"现代社会,教育成就对个体生活的影响不仅体现为劳动力市场上的经济回报,还体现为诸多""非物质性回报""。基于中国综合社会调查2010年的全国数据,对城乡之间教育成就健康回报的差异及其中介因素的分析结果显示:教育对城乡居民健康都具有正向回报,但农村与城市居民在义务教育与高中教育不同阶段所体现出的健康回报有所不同,这或可归因于城乡之间义务教育质量上的差距。因此,普及农村高中教育以及在教育""质量""而非单纯""数量""上进一步促进""城乡一体化""应成为相关教育政策的题中之义。"	教育成就 健康水平 经济地位 健康习惯
36	中国农民工多维贫困的演进——基于收入与教育维度的考察	本文采用CHNS2000-2009年的个人数据,利用A-F多维贫困测量方法估计中国9省的劳动者在收入、健康、教育、医疗保险四个维度的多维贫困,对比分析农民工和城市劳动者多维贫困的状况。引入市场化指数这一制度变量解释农民工和城市劳动者多维贫困的变化。研究发现市场化是农民工多维贫困状况改善的重要原因。为了进一步分析农民工多维贫困内部各维度的变化,利用Heckman两步法分别估计农民工和城市劳动者的教育对收入回报的截面变动趋势,并采用个体面板数据估计、比较农民工和城市劳动者十年间的总体教育回报状况。研究发现:农民工的多维贫困状况较全国水平和城市劳动者均严重。收入与教育维度的贫困对农民工多维贫困的贡献率较高,尤其是教育维度的贡献率更高且呈现上升趋势。农民工的教育回报低于城市劳动者,近年来两个群体之间教育回报的差距呈拉大趋势。在教育回报较低的情况下,农民工的理性选择是减少教育的投入。在中国经济转型升级背景下,教育投入动力不足将不利于农民工人力资本的积累,容易回到多维贫困,难以真正融入城市。	农民工 A-F多维贫困测量 多维贫困 市场化
37	创客教育连续统:激活众创时代的创新基因	创客是一个充满造物精神、努力将各种灵感变成现实的群体,是创新2.0时代创新民主化的具体体现。创客教育并非一种具体的教育教学模式或方法,而是一种理念和趋向,用于指导具体的创客教学、创客运动和创客文化发展。它不同于STEM教育、科技创新教育、信息技术教育等学科教育,是一种贯穿终身的、面向全人发展的,培养个体DIY、分享精神与创造能力的教育取向,通过创客空间、课程及活动协同推进众创时代创新型人才的培养。从连续统的角度看,创客教育实际上是包括创客精神、创客潜能、创客知能、创客实践为一体的连续统。不同学段的创客教育承载不同的教育功能,需要将创新、创意到创业贯穿于整个教育体系,形成基础教育领域的创客素养教育、高等教育领域的创新创业教育,以及社会教育领域的创业实践教育等创客教育连续统,构建创客教育的生态圈,激活众创时代的创新基因。	创客 创客教育 连续统 众创时代
38	“广谱式”创新创业教育的体系架构与理论价值	"""广谱式""创新创业教育是一种全新的教育理念和模式,核心理念是""面向全体学生""、""结合专业教育""、""融入人才培养全过程"",基本目标是""全覆盖""、""分层次""和""差异化"",努力实现面向全体与分层施教紧密结合、在校教育与继续教育密切衔接、素质教育与职业教育统筹兼顾,整体包括""通识型""、""嵌入型""、""专业型""和""职业型""四个层面的体系架构。其理论价值在于,实现了从""两极""到""中介""的转化,确立了追求实效的创新创业教育新观念;理顺了创新创业教育与就业教育的关系,促进了二者的衔接联动;贯通了创新创业教育与素质教育的本质、特征和目标,夯实了创新创业教育坚实的理论基础。"	“广谱式”创新创业教育 就业教育 素质教育
39	“互联网+”时代中国远程教育的机遇和挑战	"""互联网+""战略在为远程教育提供发展机遇的同时,更在变革取向上为远程教育发展指明方向。但远程教育在实际发展过程中,与""互联网+""所指向的教育变革价值取向还有一定差距。""互联网+教育""不是在线教育,而是一种变革的思路,是要以互联网为基础设施和创新要素,创新教育的组织模式、服务模式、教学模式等,进而构建数字时代的新型教育生态体系。中国远程教育之前发展所坚持的在既有教育框架内强化完善传统教育的路径依赖已经不再适应""互联网+""时代的要求,因为中国远程教育在知识生产、传播与消费链条上还没有实现较大突破,单纯依靠技术支撑的教育发展模式已经难以满足需求,而质量保证体系的缺失,导致中国远程教育的质量声誉远远落后于其实际办学水平。因此,需要探索改革教育服务供给方式与服务模式,进一步提升教育生态系统的生态承载力。""互联网+""时代的教育服务模式应该走向公共服务的新范式。当然,""互联网+""推动的教育变革亦有不同的路径选择,不同教育领域、类型以及不同地区惟有结合自身特色积极地开展探索与尝试,才能探索出互联网环境下教育变革与发展的应有之道。"	“互联网+” 中国远程教育 教育新生态 公共服务模式
40	数字化时代的STEM教育与创客教育	在数字化时代,强调跨学科的STEM教育与强调创造的创客教育正在悄然改变着教与学。本研究比较了STEM教育与创客教育在概念起缘、教育目标、教育内容、教育过程和师生关系的异同,力求揭示两者在课程设置、评价体系、资源整合和师生能力等面临的问题与挑战。	STEM教育 创客教育 创客
41	技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径	"近年,技术的快速发展、制造材料的不断丰富及应用成本的逐渐降低,为人们自己动手设计、制作与创造产品提供了更多可能,也推动了美国""创客行动""的兴起与发展。自2013年以来,美国越来越多的中小学开始加入""创客行动"",实施""创客教育"",将""基于创造的学习(Learning by Making)""视作学生真正需要的学习方式。本研究通过对美国中小学实施创客教育的理论研究成果及实践案例的分析,旨在对美国中小学创客教育的内涵、特征与实施路径进行梳理与总结。研究表明:美国中小学""创客教育""认为""基于创造的学习""是人类最基本的学习方式,创造是学习的途径,创造的产品即学习成果;全人发展是创客教育的根本目标,主要通过学生全身心投入到独立或协同创造进程得以实现;技术支持对于创客教育不可或缺,同时技术产品又可成为创造的目标指向。教育目标、情境及资源的整合性,学习过程与教学方式的开放性,教育过程的专业化是美国中小学创客教育的三大关键特征。此外,美国中小学创客教育的实施主要依托于精心设计的创客项目,教师对学生创造过程的专业化指导,以及来自政策、资金、人力、物力等多维度的支持。"	创客教育 中小学 基于创造的学习 美国
42	收入风险、融资约束与人力资本积累——公共教育投资的作用	尽管改革开放以来,我国经济保持了30多年的高速增长,但与此不相匹配的是,政府对公共教育的投资远远低于世界平均水平。从人类发展的角度来看,人力资本不但是经济增长的重要投入要素,人力资本的提升本身也是经济发展的核心目的。本文通过构建教育投资的世代交叠模型,说明存在收入风险和融资约束时,居民选择的教育水平将会低于社会最优水平;政府的公共教育投资具有融资效应和保险效应。基于OECD跨国数据的实证检验表明,政府公共教育投资能够促进人力资本水平的提高,这种促进作用在收入风险较大、融资约束较强的国家效果会更为突出。结合理论推导和实证检验,本文认为,在我国市场经济尚不完善,人力资本与劳动报酬匹配程度有待提升,劳动者面临显著收入风险,收入不平等状况严重的情况下,我国应进一步扩大公共教育投资,提升公共教育投资效率,以提高我国的人力资本水平。	收入风险 融资约束 公共教育投资 人力资本积累
43	新型城镇化与社区教育发展研究	本研究通过文献分析法归纳了新型城镇化的内涵、核心和基本特征,揭示了新型城镇化与社区教育发展之间的内在依存关系;运用调查法和比较法总结出新型城镇化战略实施对社区教育发展带来的潜在机遇和隐性挑战;最后提出了社区教育适应并促进新型城镇化的思路与对策以供参考。	新型城镇化 社区教育 内在关系 对策
44	创客教育的价值潜能及其争议	"全球创客运动的蓬勃发展为教育的创新改革提供了新的契机。创客教育是一种融合信息技术,秉承""开放创新、探究体验""教育理念,以""创造中学""为主要学习方式和以培养各类创新型人才为目的的新型教育模式。做中学、快乐教育、大成智慧、构造论是创客教育背后的核心理念。创客教育具有无限的价值潜能,将对个体发展、课程改革、教育系统变革以及国家人才战略产生重大影响。创客教育的实践框架需要从创客环境、创客课程、创客学习、创客文化、创客教师队伍、创客教育组织、创客教育计划等多个方面协同推进。在实践方面,由美国引领下的全球创客教育运动正在兴起,而且表现出良好的发展势头。与此同时,创客由于过度强调制造产品的价值,忽视了对非创客人群存在价值的尊重,可能是一种畸形的技术文化。在推进实践的过程中,创客教育应积极应对发展过程中面临的经费问题、教师培训问题、与课程要求以及考试的矛盾、教育公平和均衡问题等诸多挑战。"	创客 创客空间 创客教育 创客运动
45	教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察	本文基于2006、2008和2011年全国抽样调查数据,采用Mare升学模型,系统考察1940-2010年各教育阶段城乡教育机会不平等的变化趋势。通过5个出生年龄组比较分析,发现小学教育的城乡机会不平等在下降,初中教育的城乡机会不平等没有变化,而高中及其他高级中等教育的城乡机会不平等持续上升,大学阶段的城乡机会不平等略有上升。本文的主要结论是:中等教育的城乡不平等是教育分层的关键所在,初中升入高级中等教育阶段的城乡机会不平等持续扩大,而这是导致农村子弟上大学相对机会下降的源头。与此同时,本文还对工业化理论假设、再生产理论假设和文凭主义假设进行了验证,数据分析结果支持再生产理论假设。	教育不平等 城乡差距 教育扩张
46	发展教育大数据:内涵、价值和挑战	我国教育领域的发展与改革正面临前所未有的挑战,大数据与教育的结合成为时代发展的必然要求。教育大数据是指整个教育活动过程中所产生的以及根据教育需要采集到的,一切用于教育发展并可创造巨大潜在价值的数据集合。在当前国际形势下,教育大数据从战略高度应定位为推动教育变革的新型战略资产、推进教育领域综合改革的科学力量以及发展智慧教育的基石。教育大数据的最终价值应体现在与教育主流业务的深度融合以及持续推动教育系统的智慧化变革上,具体表现在驱动教育管理科学化、驱动教学模式改革、驱动个性化学习真正实现、驱动教育评价体系重构、驱动科学研究范式转型、驱动教育服务更具人性化。然而由于教育系统自身更强的独特性和复杂性,我国教育大数据的发展也面临应用落地、数据安全、数据治理与运营等诸多挑战。只有正视并深入研究这些问题,才能推动我国教育大数据持续健康发展。	教育大数据 教育改革 教育信息化 内涵界定
47	教育如何影响了人们的健康?——来自中国老年人的证据	教育和健康作为人力资本的最重要部分,其互补关系引起了经济学家的高度关注。本文使用中国老年人数据,研究了教育对健康的影响及其内在机制。结果发现教育显著提高了中国老年人的健康水平和存活率,且教育带来的健康投入效率的提高比预算约束的放松所起的作用更大,因此可以通过健康行为的干预来增进人们的健康。本文进一步证实了教育对健康影响的持久性和跨国普适性,同时也发现了教育对中国老年人健康的影响渠道的一些有趣特点。	教育 健康 渠道分析
48	终身教育、终身学习与学习型社会的全球发展回溯与未来思考	终身教育、终身学习和学习型社会的理念先后诞生于20世纪60年代中后期的西方社会,三者的发展紧密地交织在一起,互为激发、相互影响,共同构成了20世纪70年代以来世界教育改革与发展具有共识性的基本指导思想与原则。本研究结合历史和比较的研究方法,在全球发展脉络中系统地展现与分析了这三大理念的基本内涵及其主要政策与实践举措的发展和成因,研究结论指出:终身教育、终身学习和学习型社会三者在理念上一直存在着内在一致性,即都以促进人的全面发展为根本目的,它们在实践运作上虽各有侧重,但又离不开相互之间的支持与协同。研究为更深入地把握三者之间的关系提供了一个整体性的认知框架,并以此框架为基础,就三者的未来行动策略提供了若干可资参考的思路。	终身教育 终身学习 学习型社会 发展回溯
49	新媒体联盟2015地平线报告高等教育版	美国新媒体联盟《地平线报告》已经连续发布13年,堪称全球历时最长的探索新技术发展趋势和教育应用的报告。《2015地平线报告高等教育版》由新媒体联盟和美国高校教育信息化协会合作完成,旨在考察新兴技术对高等教育教与学及创造性探究所产生的潜在影响。报告放眼2016-2020年,沿用以往讨论趋势和挑战的三元维度展开,即政策,领导力和实践,确定了18项未来五年极有可能影响高等教育变革的关键趋势、重大挑战和重要的技术进展。关键趋势中,长期趋势包括:创设灵活且富于创新的学习环境,以及增进高等教育机构之间的合作;中期趋势包括:量化学习和开放教育资源的激增;短期趋势包括:混合学习的应用和学习空间的重构。就制约高等教育领域技术应用的挑战而言,正式与非正式学习的融合、数字素养的提升被认为是可解决的挑战,个性化学习与复杂性思维教学的实现是艰难的挑战,而教育模式的竞争以及教学激励机制的变革则是棘手的挑战。未来1-5年内,自带设备、翻转课堂、创客空间、可穿戴技术、自适应学习技术以及物联网技术将对高等教育产生重要影响。《2015地平线报告高等教育版》中文版,由广州广播电视大学龚志武博士团队编译,华南师范大学焦建利博士审校。其发布目的是及时了解国际范围内高等教育机构未来五年的前景如何、哪些技术和发展趋势将推动教育变革,以及将面对哪些艰难的挑战等问题,希望引起国内专家的关注和研究,以促进我国高等教育变革和教育信息化发展。	个性化学习 美国 美利坚合众国 北美洲
50	美国高校实施创客教育的路径分析	近年来,随着全美创客行动(Maker Movement)的快速发展,美国越来越多的高校开始将创客教育(Maker Education)作为培养学生创造与创新能力以及创业就业能力的重要途径。创客教育的核心是支持学生开展基于创造的学习,而基于创造的学习的关键是对学生学习主体性、实践性、深度参与性、连续性与完整性(学生往往需要完成从规划到设计再到开发制作产品的完整过程)的充分尊重。学生在基于创造的学习过程中需要主动发现、自主探究,在发现、分析与解决问题的过程中创生、验证、发展出自己的创想,在提升问题解决能力的同时又保持创造的激情与信心,这些是创造与创新能力的核心品质。基于对美国高校实施创客教育的具体举措与经验的梳理与总结,本文分析了美国高校开展创客教育的基本路径:在意识层面积极响应全美创客行动,充分重视创客教育在高等教育中的价值,这是实施创客教育的起点与目标指向;在规划层面注重对学校开展创客教育的整体设计,充分关注与社区创客教育的联动,这是实施创客教育的重要前提;在实践层面着力打造优质的创客空间提供创客教育环境,灵活选择适切的创客教育实施方式,这是创客教育得以真正实施的重要依托。	创客教育 高等教育 基于创造的创新 美国
51	教育信息化资源发展战略研究	"教育信息化资源是教育信息化系统工程中的一块基石,其中的软件资源建设正逐步成为教育信息化建设的重点内容。借鉴开放教育资源的分类标准,教育信息化软件资源可划分为""数字化教育内容""、""数字化工具性软件""、""数字化教育平台""三大部分。对比国内外的政策和案例可知,我国的资源建设存在质与量均不足、资源适用性不强及难以共享等问题。而从建设内容、建设方式、评价三方面来看,国际上则秉承""鼓励教学应用,以用促建""的建设思路,注重资源向普及化与个性化服务同步发展,关注整合资源的动态平台建设,同时倡导对资源的多样化评估。上述这些,对我国在开展教育信息化资源建设工作中强化应用导向具有重要意义。"	教育信息化 资源 数字化教育内容 数字化工具
52	教育信息化的宏观政策与战略研究	"教育信息化是伴随着信息与通讯技术的迅猛发展,全球化进程中教育实践的深化发展以及信息与通讯技术在教育领域中的渗透与应用,而逐渐受到世界各国广泛关注的全球性热点问题之一。在过去的几十年间,世界上许多地区、国家以及国际组织都纷纷制定了各自的教育信息化宏观政策与战略,并积极推动这些宏观政策与战略的落实与实施。通过系统分析教育信息化的内涵与外延,对我国教育信息化事业的发展进行简要的回顾和对""教育信息化宏观政策与战略研究""系列文章的目的、研究对象、研究方法与过程进行介绍,进而深入分析了此项研究对于推进我国教育信息化与学习型社会的建设的理论与实践工作的重要意义与价值。"	教育信息化 教育信息化政策 教育信息化构成要素
53	智慧教育体系架构与关键支撑技术	"智慧教育正在引领全国教育信息化的发展方向,成为技术变革教育时代教育发展的主旋律。智慧教育是一个宏大的系统工程,其总体架构可以概括为""一个中心、两类环境、三个内容库、四种技术、五类用户、六种业务""。智慧教育云中心是带动一个国家或地区教育信息化整体飞跃发展的关键;两类环境包括支持学校教育的智慧校园和支持终身教育的学习型智慧城区;重点建设三个沉淀智慧的内容库,包括学习资源库、开放课程库和管理信息库;物联网、云计算、大数据、泛在网络是支撑智慧教育""大厦""构建的四种核心智慧技术;重点服务教师、学生、家长、教育管理者和社会公众五类用户;有效支撑包括智慧教学、智慧学习、智慧管理、智慧科研、智慧评价和智慧服务在内的六大主流教育业务的顺利开展。智慧教育的建设与可持续发展离不开智慧技术的创新应用:物联网技术提升教育环境与教学活动的感知性;大数据技术提高教育管理、决策与评价的智慧性;云计算技术拓展教育资源与教育服务的共享性;泛在网络技术增强教育网络与多终端的连通性。"	智慧教育 体系架构 智慧技术 创新应用
54	创客教育:信息技术使能的创新教育实践场	"在创客运动(Maker Movement)席卷全球的影响之下,创客教育(Maker Education)融合信息技术的发展,开拓了创新教育的新园地。该文通过对中外相关文献的综述和分析,对创客教育的内涵进行了归纳,并对创客教育在我国的现状以及发展方向进行了深层次解读。在新兴科技和互联网社区的发展大背景下,创新教育以信息技术的融合为基础,传承了体验教育、项目学习法、创新教育、DIY理念的思想。创客课题的八个要素包括:课题的切身性、课题的复杂性、充足的资源、互动和合作、高强度、合理的时间安排、分享教育、以及新颖性。在我国,创客教育具有贯彻以学生中心的教学思想、促进学生间的交流合作、推进教育信息化进程、发展学生的动手能力、培育""尚技重工""的文化等优势。推进我国创客教育的方式有:设立多校共享的创客中心、提供相应的教师培训、鼓励器材的研发生产、创建社区创客中心、创建良好的激励机制。"	创客教育 技术使能 创新教育
55	教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析	"现代社会,教育成就对个体生活的影响不仅体现为劳动力市场上的经济回报,还体现为诸多""非物质性回报""。基于中国综合社会调查2010年的全国数据,对城乡之间教育成就健康回报的差异及其中介因素的分析结果显示:教育对城乡居民健康都具有正向回报,但农村与城市居民在义务教育与高中教育不同阶段所体现出的健康回报有所不同,这或可归因于城乡之间义务教育质量上的差距。因此,普及农村高中教育以及在教育""质量""而非单纯""数量""上进一步促进""城乡一体化""应成为相关教育政策的题中之义。"	教育成就 健康水平 经济地位 健康习惯
56	中国农民工多维贫困的演进——基于收入与教育维度的考察	本文采用CHNS2000-2009年的个人数据,利用A-F多维贫困测量方法估计中国9省的劳动者在收入、健康、教育、医疗保险四个维度的多维贫困,对比分析农民工和城市劳动者多维贫困的状况。引入市场化指数这一制度变量解释农民工和城市劳动者多维贫困的变化。研究发现市场化是农民工多维贫困状况改善的重要原因。为了进一步分析农民工多维贫困内部各维度的变化,利用Heckman两步法分别估计农民工和城市劳动者的教育对收入回报的截面变动趋势,并采用个体面板数据估计、比较农民工和城市劳动者十年间的总体教育回报状况。研究发现:农民工的多维贫困状况较全国水平和城市劳动者均严重。收入与教育维度的贫困对农民工多维贫困的贡献率较高,尤其是教育维度的贡献率更高且呈现上升趋势。农民工的教育回报低于城市劳动者,近年来两个群体之间教育回报的差距呈拉大趋势。在教育回报较低的情况下,农民工的理性选择是减少教育的投入。在中国经济转型升级背景下,教育投入动力不足将不利于农民工人力资本的积累,容易回到多维贫困,难以真正融入城市。	农民工 A-F多维贫困测量 多维贫困 市场化
57	创客教育连续统:激活众创时代的创新基因	创客是一个充满造物精神、努力将各种灵感变成现实的群体,是创新2.0时代创新民主化的具体体现。创客教育并非一种具体的教育教学模式或方法,而是一种理念和趋向,用于指导具体的创客教学、创客运动和创客文化发展。它不同于STEM教育、科技创新教育、信息技术教育等学科教育,是一种贯穿终身的、面向全人发展的,培养个体DIY、分享精神与创造能力的教育取向,通过创客空间、课程及活动协同推进众创时代创新型人才的培养。从连续统的角度看,创客教育实际上是包括创客精神、创客潜能、创客知能、创客实践为一体的连续统。不同学段的创客教育承载不同的教育功能,需要将创新、创意到创业贯穿于整个教育体系,形成基础教育领域的创客素养教育、高等教育领域的创新创业教育,以及社会教育领域的创业实践教育等创客教育连续统,构建创客教育的生态圈,激活众创时代的创新基因。	创客 创客教育 连续统 众创时代
58	“广谱式”创新创业教育的体系架构与理论价值	"""广谱式""创新创业教育是一种全新的教育理念和模式,核心理念是""面向全体学生""、""结合专业教育""、""融入人才培养全过程"",基本目标是""全覆盖""、""分层次""和""差异化"",努力实现面向全体与分层施教紧密结合、在校教育与继续教育密切衔接、素质教育与职业教育统筹兼顾,整体包括""通识型""、""嵌入型""、""专业型""和""职业型""四个层面的体系架构。其理论价值在于,实现了从""两极""到""中介""的转化,确立了追求实效的创新创业教育新观念;理顺了创新创业教育与就业教育的关系,促进了二者的衔接联动;贯通了创新创业教育与素质教育的本质、特征和目标,夯实了创新创业教育坚实的理论基础。"	“广谱式”创新创业教育 就业教育 素质教育
59	“互联网+”时代中国远程教育的机遇和挑战	"""互联网+""战略在为远程教育提供发展机遇的同时,更在变革取向上为远程教育发展指明方向。但远程教育在实际发展过程中,与""互联网+""所指向的教育变革价值取向还有一定差距。""互联网+教育""不是在线教育,而是一种变革的思路,是要以互联网为基础设施和创新要素,创新教育的组织模式、服务模式、教学模式等,进而构建数字时代的新型教育生态体系。中国远程教育之前发展所坚持的在既有教育框架内强化完善传统教育的路径依赖已经不再适应""互联网+""时代的要求,因为中国远程教育在知识生产、传播与消费链条上还没有实现较大突破,单纯依靠技术支撑的教育发展模式已经难以满足需求,而质量保证体系的缺失,导致中国远程教育的质量声誉远远落后于其实际办学水平。因此,需要探索改革教育服务供给方式与服务模式,进一步提升教育生态系统的生态承载力。""互联网+""时代的教育服务模式应该走向公共服务的新范式。当然,""互联网+""推动的教育变革亦有不同的路径选择,不同教育领域、类型以及不同地区惟有结合自身特色积极地开展探索与尝试,才能探索出互联网环境下教育变革与发展的应有之道。"	“互联网+” 中国远程教育 教育新生态 公共服务模式
60	数字化时代的STEM教育与创客教育	在数字化时代,强调跨学科的STEM教育与强调创造的创客教育正在悄然改变着教与学。本研究比较了STEM教育与创客教育在概念起缘、教育目标、教育内容、教育过程和师生关系的异同,力求揭示两者在课程设置、评价体系、资源整合和师生能力等面临的问题与挑战。	STEM教育 创客教育 创客
61	技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径	"近年,技术的快速发展、制造材料的不断丰富及应用成本的逐渐降低,为人们自己动手设计、制作与创造产品提供了更多可能,也推动了美国""创客行动""的兴起与发展。自2013年以来,美国越来越多的中小学开始加入""创客行动"",实施""创客教育"",将""基于创造的学习(Learning by Making)""视作学生真正需要的学习方式。本研究通过对美国中小学实施创客教育的理论研究成果及实践案例的分析,旨在对美国中小学创客教育的内涵、特征与实施路径进行梳理与总结。研究表明:美国中小学""创客教育""认为""基于创造的学习""是人类最基本的学习方式,创造是学习的途径,创造的产品即学习成果;全人发展是创客教育的根本目标,主要通过学生全身心投入到独立或协同创造进程得以实现;技术支持对于创客教育不可或缺,同时技术产品又可成为创造的目标指向。教育目标、情境及资源的整合性,学习过程与教学方式的开放性,教育过程的专业化是美国中小学创客教育的三大关键特征。此外,美国中小学创客教育的实施主要依托于精心设计的创客项目,教师对学生创造过程的专业化指导,以及来自政策、资金、人力、物力等多维度的支持。"	创客教育 中小学 基于创造的学习 美国
62	收入风险、融资约束与人力资本积累——公共教育投资的作用	尽管改革开放以来,我国经济保持了30多年的高速增长,但与此不相匹配的是,政府对公共教育的投资远远低于世界平均水平。从人类发展的角度来看,人力资本不但是经济增长的重要投入要素,人力资本的提升本身也是经济发展的核心目的。本文通过构建教育投资的世代交叠模型,说明存在收入风险和融资约束时,居民选择的教育水平将会低于社会最优水平;政府的公共教育投资具有融资效应和保险效应。基于OECD跨国数据的实证检验表明,政府公共教育投资能够促进人力资本水平的提高,这种促进作用在收入风险较大、融资约束较强的国家效果会更为突出。结合理论推导和实证检验,本文认为,在我国市场经济尚不完善,人力资本与劳动报酬匹配程度有待提升,劳动者面临显著收入风险,收入不平等状况严重的情况下,我国应进一步扩大公共教育投资,提升公共教育投资效率,以提高我国的人力资本水平。	收入风险 融资约束 公共教育投资 人力资本积累
63	新型城镇化与社区教育发展研究	本研究通过文献分析法归纳了新型城镇化的内涵、核心和基本特征,揭示了新型城镇化与社区教育发展之间的内在依存关系;运用调查法和比较法总结出新型城镇化战略实施对社区教育发展带来的潜在机遇和隐性挑战;最后提出了社区教育适应并促进新型城镇化的思路与对策以供参考。	新型城镇化 社区教育 内在关系 对策
64	当代西方文论若干问题辨识——兼及中国文论重建	在充分肯定当代西方文论对中国文论建设产生的积极影响的同时,有必要对当代西方文论本身进行辨析,考察其应用于中国文艺实践的有效性,并最终思考中国文论的重建问题。当代西方文论的主要局限有:脱离文学实践,用其他学科的现成理论阐释文学文本、解释文学经验,并将之推广为普遍的文学规则;出于对以往理论和方法的批判乃至颠覆,将具有合理因素的观点推延至极端;套用科学主义的恒定模式阐释具体文本。当代西方文论生长于西方文化土壤,与中国文化之间存在着语言差异、伦理差异和审美差异,这决定了其理论运用的有限性。中国文论建设的基点,一是抛弃对外来理论的过分倚重,重归中国文学实践;二是坚持民族化方向,回到中国语境,充分吸纳中国传统文论遗产;三是认识、处理好外部研究与内部研究的关系问题,建构二者辩证统一的研究范式。	当代西方文论 中国文论重建 中国文学实践
65	语言变革对中国现代文学形式发展的深度影响	"文学是语言的艺术,应从语言变革对中国现代文学形式发展的深度影响这一视角,呈现一部作为语言艺术的中国现代文学发展史。中国现代文学是以""五四""反对文言文、提倡白话文的语言变革为起点的,这场语言革命以及其后各历史阶段的文学语言变迁,对包括形式在内的中国现代文学的整体发展都产生过深度影响,从而成为中国现代文学形式发展、演进和主要特征形成的内在根源。深入探讨语言变革与中国现代文学形式发展的互动关系及其规律,不仅能揭示语言变迁所营构的普遍的文学创作的语言环境,而且能发现包括文学体裁和文体形式现象、作家的文体选择行为、文学作品的形式特征等历史成因,能对五四白话文运动及其后的一系列新的文学形式和文体现象,作出准确的阐释和评价。这有利于更好总结中国现代文学形式发展的经验,并为我们当今文学形式的发展找寻历史的启示意义。"	文学语言 语言变迁 中国现代文学 文学形式演进
66	论文学地图	"""文学地图""作为文学地理学的""第二语言"",旨在移植和借鉴""地图""理论、方法与技术,以""图一文""两大叙述语言系统的有机融合呈现和揭示文学地理空间的形态与意义,具有相对完整的图文结构与互文功能。鉴于世纪之交文学地图热的勃兴与理论研究缺失的反差,我们需要从历史还原一建构的双重视角对""文学地图""的形态与概念变迁进行系统梳理,并基于跨学科批评模式与研究方法的学术定位,对""文学地图""的时空逻辑、图文结构、互文功能与二元方法等问题展开探讨,为文学地理学与文学史学研究提供新的理论启示。"	文学地图 文学地理学 文学史学
67	民间文学:转向文本实践的研究	"长期以来,中国学者往往用认识方法研究民间文学的文本实践问题,认为民间文学的文本和语境是彼此游离的。21世纪引入的表演理论和口头—程式理论,也仍被多数中国学者理解为一种理论认识和实证研究的方法,从而忽视了民间文学转向实践科学的可能性。从实践研究的角度看,民间文学的文本实际上是人们用民间文学的不同体裁进行叙事的表演行为本身。表演就是体裁叙事传统的互文性通过表演行为具体化为动态文本的实践过程。只有把民间文学文本还原为体裁叙事的表演行为,体裁和人共有的形式意志、表演者和观众的责任伦理以及民间文学的实践特性才能被彰显,民间文学表演的""这一个""文本和采录的""这一个""文本之间的关系才能得到实践上的澄清。"	民间文学 体裁叙事 文本 表演行为
68	世界诗学的构想	"正伴随着全球化在文化上的进程,""世界文学""近年来已成为国际人文学科的又一热门话题。当年,歌德之所以提出""世界文学""的构想,很大程度上是因为他读了包括中国文学在内的一些非西方文学作品后,受到极大的启发。同理,中国的文学理论也曾对西方学者的比较诗学理论建构产生过较大影响,只不过绝大多数主流的西方文学理论家对此却全然不知,或拒不承认。今天,世界文学已成为一种审美现实的情况下,文学理论也进入一个""后理论时代""。~①""后理论时代""的来临使原先"	诗学 歌德 普遍意义 文学阐释
69	新文学对传统文化的批判与承续	"中国新文学虽表现出强烈的反传统气势,但并未割裂与传统文化之间的血脉联系;虽倡导西方人文精神,但并未建立起西方文学的审美价值观。由于汉语思维的文化特性和历史延续性,新文学不可能背离母体文化而完全""西化""。因此,全面考察中国文学的现代转型,我们必须关注它对民族文化传统的自觉继承,以及它以""传统""反""传统""的运作策略,而不是刻意阐释它与西方现代文学之间的必然关联。新文学必定是""中国""的新文学,无论外部因素如何干扰或参与,都不能改变其自身所具有的文化属性,更不能改变其对民族文化的自我认同。这是我们理解新文学现代性的首要前提。"	新文学 传统文化 批判与承续 现代转型
